ID,Caption_gt,Caption_pred,bertscore_f1,rouge1,rouge2,rougeL,bleurt
ImageCLEFmedical_Caption_2026_valid_0,"There is a little long T1 and long T2 signal near the left ventricle, and T2 flair shows high signal. Dysplasia of the inferior vermis of the cerebellum, cystic dilatation of the fourth ventricle, and dilatation of the third ventricle and lateral ventricle; no obvious abnormalities were found in the brainstem.","MRI of the brain, showing a clear view of the cerebral cortex and the internal structures.",0.8551831,0.23880597014925373,0.061538461538461535,0.17910447761194026,-1.0755538940429688
ImageCLEFmedical_Caption_2026_valid_1,"The bilateral frontotemporal extracerebral space is slightly wider, the sulci is deepened, the gyrus is wider, the white matter is reduced, and the midline is centered.",Axial T2-weighted MRI of the brain showing symmetric hyperintensity in the white matter.,0.84393746,0.2,0.10526315789473685,0.2,-0.9772952795028687
ImageCLEFmedical_Caption_2026_valid_2,"Sagittal STIR sequence of the lumbar spine showing hyperintensity signal of the L1/L2 intervertebral disc and the vertebral bodies of L1 and L2 with an epidural abscess, resulting in compression of the dura sack (white arrow)","Sagittal MRI of the lumbar spine, showing a possible lesion extending from the L2 level to the conus.",0.8900441,0.3272727272727273,0.1509433962264151,0.3272727272727273,-0.7269061803817749
ImageCLEFmedical_Caption_2026_valid_3,Post-operative radiograph of pelvis with both hip joints anteroposterior view shows periprosthetic femur fracture managed with revision total hip arthroplasty left side,Post-operative anteroposterior radiograph of the pelvis showing a total hip replacement.,0.91739213,0.5142857142857143,0.1818181818181818,0.4571428571428571,-0.6962311863899231
ImageCLEFmedical_Caption_2026_valid_4,Pre-operative radiograph of pelvis with both hip joints (PBH) anteroposterior view shows bilateral total hip arthroplasty with periprosthetic femur fracture left side,Postoperative anteroposterior pelvic radiograph showing a right total hip arthroplasty (THA) with a titanium femoral stem and a ceramic-on-polyethylene bearing. The left femur appears to be intramedullary nailed.,0.88702565,0.33962264150943394,0.0784313725490196,0.26415094339622636,-0.05622534453868866
ImageCLEFmedical_Caption_2026_valid_5,Pipkin Type II fracture left head femur with ipsilateral fracture shaft femur in a 69 years male (case no 1),Pelvis anteroposterior radiograph displaying a left posterior wall fracture with concentric reduction of both hips.,0.83705497,0.2285714285714286,0.0,0.1142857142857143,-0.7210425138473511
ImageCLEFmedical_Caption_2026_valid_6,Immediate post operative C arm image,Post-operative X-ray of the shoulder with screws in place.,0.8706761,0.23529411764705885,0.13333333333333333,0.23529411764705885,-1.0120086669921875
ImageCLEFmedical_Caption_2026_valid_7,"At 96 months follow-up, X-ray of both hips anteroposterior (AP) view – no signs of avascular necrosis (AVN) or post-traumatic arthritis (PTA)",Pelvis with both hip AP radiograph.,0.84853673,0.2,0.07142857142857142,0.2,-1.176985740661621
ImageCLEFmedical_Caption_2026_valid_8,Total Hip Replacement (THR) performed,Anteroposterior radiograph of the hip showing a cemented dual mobility socket total hip arthroplasty.,0.8304924,0.21052631578947364,0.11764705882352941,0.21052631578947364,-1.1037657260894775
ImageCLEFmedical_Caption_2026_valid_9,At 19 months follow-up – avascular necrosis (AVN) developed (case no 2),"Post-operative radiograph of the right hip, showing hardware and signs of previous surgical intervention.",0.846328,0.0,0.0,0.0,-0.9461144208908081
ImageCLEFmedical_Caption_2026_valid_10,"At 96 months follow-up, X-ray of both hips frog lateral view – no signs of avascular necrosis (AVN) or post-traumatic arthritis (PTA)",Hip X-ray showing hardware fixation.,0.8688262,0.2,0.07142857142857142,0.13333333333333333,-1.217929482460022
ImageCLEFmedical_Caption_2026_valid_11,"12 weeks follow-up, both trochanteric osteotomy and fracture head fragment united with interlocking nail for ipsilateral fracture shaft femur.",Post-operative radiograph of the hip.,0.85350275,0.0,0.0,0.0,-1.3509868383407593
ImageCLEFmedical_Caption_2026_valid_12,"Schematic picture of the diameter measurement of each point of the ACL: A represents insertion point, B represents midpoint, and C represents origin point of the ACL.","MRI image of the knee showing the proximal, distal, and middle regions of interest (ROI) of the intra-articular graft and the location of the quadriceps tendon. The Insall-Salvati index is 1.18.",0.84410745,0.2622950819672131,0.1016949152542373,0.2622950819672131,-0.6621774435043335
ImageCLEFmedical_Caption_2026_valid_13,"Schematic picture of the diameter measurement of each point of the PCL: D represents origin point, E represents midpoint, and F represents insertion point of the PCL.","Sagittal MRI of the right knee showing the proximal, distal, and middle regions of interest (ROI) of the intra-articular graft, and the location of the quadriceps tendon.",0.8493574,0.2909090909090909,0.11320754716981132,0.2909090909090909,-0.8744411468505859
ImageCLEFmedical_Caption_2026_valid_14,Comparison of a normal ACL (A) and an injured ACL (B)ACL: anterior cruciate ligament,Sagittal MRI showing a posterior cruciate ligament (PCL) tear with a residual femoral stump (arrow) and joint effusion (wide arrows).,0.86118364,0.28571428571428575,0.06060606060606061,0.17142857142857143,-0.3754352331161499
