"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","MRI showing a large, well-circumscribed lesion in the posterior fossa, consistent with a cerebellar hemangioblastoma."
"ImageCLEFmedical_Caption_2026_valid_1","Brain MRI showing symmetric hyperintense signal in the periventricular white matter, consistent with leukoencephalopathy."
"ImageCLEFmedical_Caption_2026_valid_2","MRI of the lumbar spine showing a large disc herniation at L1-L2 level, indicated by the arrow."
"ImageCLEFmedical_Caption_2026_valid_3","Hip arthroplasty with visible implant and surgical hardware."
"ImageCLEFmedical_Caption_2026_valid_4","Hip arthroplasty with signs of implant loosening and osteolysis."
"ImageCLEFmedical_Caption_2026_valid_5","Hip radiograph showing bilateral acetabular fractures with associated pelvic dislocation."
"ImageCLEFmedical_Caption_2026_valid_6","Intraoperative fluoroscopy image showing surgical fixation with screws in the femoral head and neck."
"ImageCLEFmedical_Caption_2026_valid_7","Pelvis with both hip AP radiograph showing surgical fixation with screws and rod in the right hip."
"ImageCLEFmedical_Caption_2026_valid_8","Anterior-posterior radiograph of the pelvis showing a total hip replacement with a visible screw in the right acetabular component."
"ImageCLEFmedical_Caption_2026_valid_9","Postoperative pelvic X-ray showing bilateral hip screw fixation and a central radiopaque foreign body."
"ImageCLEFmedical_Caption_2026_valid_10","Postoperative pelvic radiograph showing hip arthroplasty with surgical hardware in place."
"ImageCLEFmedical_Caption_2026_valid_11","Post-operative pelvic X-ray showing bilateral pelvic fixation with screws and a prosthetic implant."
"ImageCLEFmedical_Caption_2026_valid_12","MRI of the knee demonstrating a 13.96mm intra-articular mass with associated 9.64mm and 11.47mm measurements, consistent with a benign or malignant lesion."
"ImageCLEFmedical_Caption_2026_valid_13","MRI of the knee showing a large, well-circumscribed lesion in the medial compartment, measuring 9.16mm (D), 6.26mm (E), and 8.52mm (F). The lesion is consistent with a benign cartilage tumor, likely a chondroma or enchondroma."
"ImageCLEFmedical_Caption_2026_valid_14","MRI of the knee showing a large, well-defined, hyperintense mass within the joint space, consistent with a benign or malignant lesion."
"ImageCLEFmedical_Caption_2026_valid_15","CT scan of the thorax showing a large, well-circumscribed, non-contrast-enhancing mass in the right hemithorax, consistent with a pulmonary cyst or tumor."
"ImageCLEFmedical_Caption_2026_valid_16","Right-sided rib fracture with associated pneumothorax."
"ImageCLEFmedical_Caption_2026_valid_17","CT scan showing a large, well-circumscribed, hyperdense lesion in the right lower lobe, consistent with a pulmonary abscess."
"ImageCLEFmedical_Caption_2026_valid_18","Ultrasound image showing the gallbladder (GB) with a hypoechoic mass (arrow) consistent with a gallbladder wall thickening or a small lesion."
"ImageCLEFmedical_Caption_2026_valid_19","CT scan of the abdomen showing a large, irregularly shaped mass in the right upper quadrant with associated bowel loops and air-fluid levels."
"ImageCLEFmedical_Caption_2026_valid_20","Posteroanterior chest radiograph showing a large right-sided pleural effusion with mediastinal shift and obscured cardiac silhouette."
"ImageCLEFmedical_Caption_2026_valid_21","CT scan of the maxilla showing a radiopaque foreign body embedded in the alveolar bone, located near the maxillary incisors."
"ImageCLEFmedical_Caption_2026_valid_22","Color Doppler ultrasound image showing a heterogeneous mass with mixed vascularity and flow signals."
"ImageCLEFmedical_Caption_2026_valid_23","Cervical spine radiograph showing the cervical vertebrae from C1 to C7 with a superimposed geometric analysis overlay for cervical spine alignment assessment."
"ImageCLEFmedical_Caption_2026_valid_24","Radiograph: dental radiograph showing a radiopaque mass in the apical region of the central incisor, consistent with a periapical cyst or abscess."
"ImageCLEFmedical_Caption_2026_valid_25","Axial MRI demonstrates a hyperintense lesion in the right frontal lobe, consistent with a focal lesion."
"ImageCLEFmedical_Caption_2026_valid_26","Transvaginal ultrasound image showing a large, heterogeneous, hypoechoic mass with internal echoes and posterior shadowing, consistent with a complex ovarian tumor."
