"ID","Caption"
"ImageCLEFmedical_Caption_2026_valid_0","Sagittal MRI of a 4.5-month-old male child."
"ImageCLEFmedical_Caption_2026_valid_1","Axial section of T1W brain image shows punctate hypointense lesions in the subcortical white matter, particularly in the periventricular white matter and corona radiata."
"ImageCLEFmedical_Caption_2026_valid_2","Sagittal T2-weighted MRI lumbar spine showing a 16-mm extradural enhancing lesion (arrow) at the level of L2."
"ImageCLEFmedical_Caption_2026_valid_3","Posterior-anterior radiograph of the left hip demonstrating fracture of the left femoral shaft with displacement of the fracture ends."
"ImageCLEFmedical_Caption_2026_valid_4","Pelvis anteroposterior X-ray showing bilateral femoral necks after total arthroplasty"
"ImageCLEFmedical_Caption_2026_valid_5","Preoperative anterioposterior radiograph of the hip joint shows bilateral femoral neck fractures (Art. No: 001)."
"ImageCLEFmedical_Caption_2026_valid_6","C-arm verification of the reduction and fixation at the time of the resection arthrodesis."
"ImageCLEFmedical_Caption_2026_valid_7","Postoperative anteroposterior radiograph of the pelvis with hips demonstrating osteosynthesis of the left femoral neck stress fracture involving the proximal femur with screws and an intramedullary pin."
"ImageCLEFmedical_Caption_2026_valid_8","Postoperative radiographs showing the left hip hemiarthroplasty of the patient."
"ImageCLEFmedical_Caption_2026_valid_9","Anteroposterior radiograph of the pelvis after 12 months of follow-up showing union of the femoral neck fracture."
"ImageCLEFmedical_Caption_2026_valid_10","AP radiograph of the hip at the 1-year follow-up."
"ImageCLEFmedical_Caption_2026_valid_11","Postoperative radiograph of primary left hip dislocation after reduction"
"ImageCLEFmedical_Caption_2026_valid_12","Sagittal view of the tumor."
"ImageCLEFmedical_Caption_2026_valid_13","Postoperative MRI of case 2. The measurement of the distance from the posterior articular surface of the femur to the medial patellar facet was 9.16 mm."
"ImageCLEFmedical_Caption_2026_valid_14","MRI image.A: Sagittal view of the left knee revealing a large, subchondral cyst in the lateral tibial plateau (white arrow).B: Oblique view of the left knee revealing a large, subchondral cyst in the lateral tibial plateau (white arrow)."
"ImageCLEFmedical_Caption_2026_valid_15","A computed tomography (CT) scan revealing a spherical mass (red arrow) within the right ventricle of the heart"
"ImageCLEFmedical_Caption_2026_valid_16","Axial CT image of the cat's left caudal lung lobe. Note the presence of a well-defined, rounded hypodense mass (arrow) with a thin, hypodense rim."
"ImageCLEFmedical_Caption_2026_valid_17","An axial CT image at a 4.5-month-old age. The arrow indicates the sacral vertebrae"
"ImageCLEFmedical_Caption_2026_valid_18","Other findings. Stone in gallbladder (arrow)."
"ImageCLEFmedical_Caption_2026_valid_19","Computed tomography scan of the abdomen and pelvis with contrast shows fat stranding.The arrow indicates the fat stranding."
"ImageCLEFmedical_Caption_2026_valid_20","Chest X-ray at presentation: left-sided pleural effusion."
"ImageCLEFmedical_Caption_2026_valid_21","(a) CBCT image shows a radiopaque material (black arrow) around the left lower second premolar (46). (b) CBCT image shows radiopaque material (black arrow) around the right lower first molar (36)."
"ImageCLEFmedical_Caption_2026_valid_22","2D color Doppler ultrasound image of the umbilical vein vein at the time of 30 weeks of gestation."
"ImageCLEFmedical_Caption_2026_valid_23","Lateral radiograph of the cervical spine showing measurement of the ossification of the posterior longitudinal ligament (a, b), the transverse ligament (d, e), and the cervical disc (f, x, y) of C2–C3 (a, d, f), C3–4 (b, e, x), and C4–5 (c, y)"
"ImageCLEFmedical_Caption_2026_valid_24","Periapical radiograph of the mandibular left central incisor"
"ImageCLEFmedical_Caption_2026_valid_25","MRI scan showing a left orbital tumour"
"ImageCLEFmedical_Caption_2026_valid_26","Anterior segment ultrasound biomicroscopy image demonstrates the optic disc and the posterior chamber. The arrow indicates the posterior chamber."
"ImageCLEFmedical_Caption_2026_valid_27","Right inguinal lymph node of the patient with NHL."
"ImageCLEFmedical_Caption_2026_valid_28","Contrast-enhanced CT scan of the abdomen."
"ImageCLEFmedical_Caption_2026_valid_29","Color Doppler imaging of the right renal artery shows an extensive thrombus and significant narrowing of the vessel lumen"
"ImageCLEFmedical_Caption_2026_valid_30","Chest radiograph on admission, showing a left upper lobe mass."
"ImageCLEFmedical_Caption_2026_valid_31","FDG PET/CT scan: intense FDG uptake (SUVmax = 3.2) of the pancreatic tumor."
"ImageCLEFmedical_Caption_2026_valid_32","Chest X-ray shows the presence of a large mass in the left mediastinum with a soft tissue density shadow."
"ImageCLEFmedical_Caption_2026_valid_33","Echocardiogram showing the presence of a large atrial septal defect (red arrow) with overriding right ventricle and overriding aorta (blue arrow)."
"ImageCLEFmedical_Caption_2026_valid_34","Chest CT scan with contrast."
"ImageCLEFmedical_Caption_2026_valid_35","CT head without contrast showing a large hyperdense collection in the left frontal lobe."
"ImageCLEFmedical_Caption_2026_valid_36","Head CT scan. Head CT scan showed a large right temporal lobe lesion with haemorrhagic transformation (red circle)"
"ImageCLEFmedical_Caption_2026_valid_37","Chest X-ray: Right lower zone consolidation"
"ImageCLEFmedical_Caption_2026_valid_38","Sagittal view of the right internal pudendal artery.The red arrow shows the internal pudendal artery. The white arrow shows the internal pudendal vein. The yellow arrow shows the internal pudendal nerve. The blue arrow shows the internal pudendal artery."
"ImageCLEFmedical_Caption_2026_valid_39","Endoscopic ultrasonography image."
"ImageCLEFmedical_Caption_2026_valid_40","MRI of left parotid gland. Axial T2W image shows the left parotid gland (white arrow) with a well-defined hypointense lesion (black circle)."
"ImageCLEFmedical_Caption_2026_valid_41","Preoperative CT scan image of the patient. The arrow indicates the area of the lesion."
"ImageCLEFmedical_Caption_2026_valid_42","Abdominal X-ray (anteroposterior view) showing air-filled loops of bowel in the right and left hemi-pelvis."
"ImageCLEFmedical_Caption_2026_valid_43","Endoscopic retrograde cholangiopancreatography showing multiple strictures at the hepaticojejunostomy."
"ImageCLEFmedical_Caption_2026_valid_44","Example of right (blue) and left (yellow) lung segmentation."
